transaction_id,account_id,date,merchant,category,amount,is_anomaly
TXN000063,ACC0040,2023-10-24,Coles,Groceries,299.29,0
TXN000064,ACC0034,2023-12-03,IGA,Groceries,293.92,0
TXN000065,ACC0021,2023-04-15,Menulog,Dining,336.51,0
TXN000066,ACC0042,2023-07-22,Shell,Transport,69.78,0
TXN000067,ACC0005,2023-06-11,Nandos,Dining,464.86,1
TXN000068,ACC0007,2023-11-15,IGA,Groceries,499.23,1
TXN000069,ACC0023,2023-09-17,Coles,Groceries,136.27,0
TXN000070,ACC0029,2023-07-09,Coles,Groceries,146.07,0
TXN000071,ACC0042,2023-11-10,Target,Shopping,492.01,1
TXN000072,ACC0020,2023-12-08,AGL Energy,Utilities,409.47,0
TXN000073,ACC0007,2023-03-10,Chemist Warehouse,Healthcare,135.91,0
TXN000074,ACC0039,2023-03-21,Medibank,Healthcare,139.81,0
TXN000075,ACC0017,2023-04-15,Shell,Transport,345.31,0
TXN000076,ACC0004,2023-05-09,Optus,Utilities,453.14,1
TXN000077,ACC0022,2023-05-22,IGA,Groceries,26.82,0
TXN000078,ACC0011,2023-11-23,Kmart,Shopping,490.0,1
TXN000079,ACC0036,2023-10-10,Priceline,Healthcare,354.31,0
TXN000080,ACC0045,2023-02-08,Woolworths,Groceries,472.8,1
TXN000081,ACC0010,2023-07-09,Myki,Transport,293.34,0
TXN000082,ACC0003,2023-01-22,Spotify,Entertainment,157.59,0
TXN000083,ACC0007,2023-12-16,Uber Eats,Dining,128.52,0
TXN000084,ACC0016,2023-11-14,Nandos,Dining,375.99,0
TXN000085,ACC0002,2023-04-01,Kmart,Shopping,441.3,0
TXN000086,ACC0048,2023-07-30,Shell,Transport,402.11,0
TXN000087,ACC0045,2023-05-17,Kmart,Shopping,83.8,0
TXN000088,ACC0015,2023-01-20,IGA,Groceries,430.0,0
TXN000089,ACC0015,2023-06-29,BP,Transport,156.07,0
TXN000090,ACC0022,2023-12-04,Myki,Transport,100.6,0
TXN000091,ACC0033,2023-05-23,McDonalds,Dining,178.82,0
TXN000092,ACC0017,2023-01-15,Event Cinemas,Entertainment,62.09,0
TXN000093,ACC0028,2023-01-20,Shell,Transport,58.66,0
TXN000094,ACC0033,2023-08-12,Menulog,Dining,305.07,0
TXN000095,ACC0003,2023-10-23,IGA,Groceries,99.09,0
TXN000096,ACC0035,2023-01-01,Priceline,Healthcare,262.36,0
TXN000097,ACC0028,2023-12-10,Medibank,Healthcare,102.53,0
TXN000098,ACC0008,2023-11-16,Aldi,Groceries,160.39,0
TXN000099,ACC0027,2023-09-17,Priceline,Healthcare,158.1,0
TXN000100,ACC0009,2023-12-23,Nandos,Dining,151.35,0
TXN000101,ACC0044,2023-12-07,BP,Transport,470.48,1
TXN000102,ACC0026,2023-11-12,Chemist Warehouse,Healthcare,286.71,0
TXN000103,ACC0028,2023-06-05,AGL Energy,Utilities,147.02,0
TXN000104,ACC0044,2023-08-27,Target,Shopping,223.68,0
TXN000105,ACC0019,2023-03-28,BP,Transport,331.13,0
TXN000106,ACC0049,2023-02-17,Telstra,Utilities,410.12,0
TXN000107,ACC0010,2023-04-26,Shell,Transport,404.25,0
TXN000108,ACC0040,2023-05-06,Woolworths,Groceries,492.05,1
TXN000109,ACC0041,2023-08-22,JB Hi-Fi,Shopping,210.15,0
TXN000110,ACC0026,2023-12-23,Origin Energy,Utilities,195.07,0
TXN000111,ACC0049,2023-12-02,Uber,Transport,345.37,0
TXN000112,ACC0045,2023-08-06,JB Hi-Fi,Shopping,113.33,0
TXN000113,ACC0008,2023-01-26,Optus,Utilities,280.92,0
TXN000114,ACC0036,2023-08-26,Spotify,Entertainment,335.45,0
TXN000115,ACC0047,2023-08-15,Telstra,Utilities,308.26,0
TXN000116,ACC0011,2023-10-08,Optus,Utilities,225.73,0
TXN000117,ACC0016,2023-08-19,Priceline,Healthcare,133.3,0
TXN000118,ACC0016,2023-09-24,Target,Shopping,244.88,0
TXN000119,ACC0016,2023-02-09,Nandos,Dining,358.2,0
TXN000120,ACC0006,2023-06-13,Menulog,Dining,447.05,0
TXN000121,ACC0010,2023-04-29,Uber,Transport,194.6,0
TXN000122,ACC0022,2023-02-02,Chemist Warehouse,Healthcare,210.36,0
TXN000123,ACC0027,2023-08-01,Optus,Utilities,35.82,0
TXN000124,ACC0001,2023-10-22,Netflix,Entertainment,193.29,0
TXN000125,ACC0027,2023-07-19,Menulog,Dining,427.46,0
TXN000126,ACC0028,2023-09-07,Origin Energy,Utilities,113.61,0
TXN000127,ACC0044,2023-07-19,Netflix,Entertainment,171.38,0
TXN000128,ACC0009,2023-03-26,Amazon AU,Shopping,421.05,0
TXN000129,ACC0043,2023-07-21,AGL Energy,Utilities,297.99,0
TXN000130,ACC0030,2023-11-26,Woolworths,Groceries,217.16,0
TXN000131,ACC0014,2023-05-14,Myki,Transport,192.66,0
TXN000132,ACC0025,2023-06-22,Event Cinemas,Entertainment,381.81,0
TXN000133,ACC0031,2023-05-10,Nandos,Dining,418.28,0
TXN000134,ACC0005,2023-06-29,Woolworths,Groceries,115.99,0
TXN000135,ACC0013,2023-01-16,JB Hi-Fi,Shopping,475.06,1
TXN000136,ACC0009,2023-11-15,JB Hi-Fi,Shopping,80.43,0
TXN000137,ACC0030,2023-10-16,Netflix,Entertainment,474.14,1
TXN000138,ACC0039,2023-07-08,Priceline,Healthcare,88.06,0
TXN000139,ACC0011,2023-02-28,Medibank,Healthcare,390.01,0
TXN000140,ACC0020,2023-10-24,McDonalds,Dining,17.71,0
TXN000141,ACC0013,2023-07-23,Optus,Utilities,471.03,1
TXN000142,ACC0020,2023-02-22,Coles,Groceries,350.11,0
TXN000143,ACC0023,2023-10-17,JB Hi-Fi,Shopping,392.4,0
TXN000144,ACC0033,2023-12-05,Optus,Utilities,188.43,0
TXN000145,ACC0032,2023-01-07,Priceline,Healthcare,425.54,0
TXN000146,ACC0030,2023-07-05,IGA,Groceries,319.61,0
TXN000147,ACC0034,2023-08-11,Chemist Warehouse,Healthcare,92.19,0
TXN000148,ACC0035,2023-11-12,Priceline,Healthcare,405.06,0
TXN000149,ACC0047,2023-08-27,Amazon AU,Shopping,220.61,0
TXN000150,ACC0006,2023-06-15,Telstra,Utilities,426.6,0
TXN000151,ACC0037,2023-05-05,Nandos,Dining,376.49,0
TXN000152,ACC0021,2023-06-22,Optus,Utilities,19.21,0
TXN000153,ACC0017,2023-04-19,BP,Transport,180.64,0
TXN000154,ACC0018,2023-11-02,Menulog,Dining,352.09,0
TXN000155,ACC0006,2023-09-22,AGL Energy,Utilities,474.29,1
TXN000156,ACC0016,2023-09-08,BP,Transport,279.81,0
TXN000157,ACC0029,2023-11-27,Priceline,Healthcare,357.36,0
TXN000158,ACC0026,2023-02-17,JB Hi-Fi,Shopping,150.65,0
TXN000159,ACC0024,2023-06-06,Chemist Warehouse,Healthcare,333.66,0
TXN000160,ACC0036,2023-08-06,Event Cinemas,Entertainment,498.33,1
TXN000161,ACC0020,2023-12-26,Menulog,Dining,229.6,0
TXN000162,ACC0021,2023-03-03,Uber Eats,Dining,362.04,0
TXN000163,ACC0031,2023-04-09,Coles,Groceries,112.11,0
TXN000164,ACC0019,2023-02-21,Menulog,Dining,417.15,0
TXN000165,ACC0046,2023-04-02,Shell,Transport,154.62,0
TXN000166,ACC0004,2023-05-21,Origin Energy,Utilities,27.53,0
TXN000167,ACC0041,2023-12-24,Telstra,Utilities,472.32,1
TXN000168,ACC0037,2023-02-22,Amazon AU,Shopping,437.0,0
TXN000169,ACC0012,2023-09-03,Nandos,Dining,223.03,0
TXN000170,ACC0005,2023-09-02,Aldi,Groceries,61.47,0
TXN000171,ACC0044,2023-02-07,Steam,Entertainment,290.63,0
TXN000172,ACC0020,2023-03-18,Coles,Groceries,406.52,0
TXN000173,ACC0027,2023-03-02,Coles,Groceries,281.25,0
TXN000174,ACC0029,2023-09-25,Origin Energy,Utilities,193.29,0
TXN000175,ACC0004,2023-06-06,Nandos,Dining,286.47,0
TXN000176,ACC0017,2023-04-17,AGL Energy,Utilities,314.63,0
TXN000177,ACC0036,2023-03-22,Chemist Warehouse,Healthcare,123.73,0
TXN000178,ACC0045,2023-01-02,Coles,Groceries,207.22,0
TXN000179,ACC0019,2023-05-30,Optus,Utilities,21.16,0
TXN000180,ACC0005,2023-12-26,Priceline,Healthcare,430.51,0
TXN000181,ACC0041,2023-05-16,Chemist Warehouse,Healthcare,394.97,0
TXN000182,ACC0015,2023-08-06,Origin Energy,Utilities,61.81,0
TXN000183,ACC0005,2023-05-17,Chemist Warehouse,Healthcare,414.18,0
TXN000184,ACC0037,2023-06-07,Coles,Groceries,299.55,0
TXN000185,ACC0020,2023-03-05,Nandos,Dining,237.01,0
TXN000186,ACC0032,2023-05-20,Priceline,Healthcare,252.73,0
TXN000187,ACC0028,2023-11-03,Netflix,Entertainment,24.73,0
TXN000188,ACC0006,2023-11-06,Priceline,Healthcare,128.93,0
TXN000189,ACC0037,2023-12-11,Myki,Transport,411.6,0
TXN000190,ACC0029,2023-08-29,Coles,Groceries,261.89,0
TXN000191,ACC0032,2023-10-27,Uber Eats,Dining,220.76,0
TXN000192,ACC0021,2023-06-28,IGA,Groceries,207.13,0
TXN000193,ACC0045,2023-03-24,Chemist Warehouse,Healthcare,168.25,0
TXN000194,ACC0049,2023-12-06,Event Cinemas,Entertainment,472.87,1
TXN000195,ACC0017,2023-08-21,AGL Energy,Utilities,48.59,0
TXN000196,ACC0001,2023-07-26,McDonalds,Dining,433.13,0
TXN000197,ACC0013,2023-08-25,Medibank,Healthcare,209.56,0
TXN000198,ACC0041,2023-11-15,Telstra,Utilities,379.44,0
TXN000199,ACC0009,2023-04-15,Netflix,Entertainment,137.19,0
TXN000200,ACC0002,2023-12-24,Nandos,Dining,244.93,0
TXN000201,ACC0020,2023-05-03,Medibank,Healthcare,356.34,0
TXN000202,ACC0015,2023-10-10,AGL Energy,Utilities,206.96,0
TXN000203,ACC0042,2023-08-25,JB Hi-Fi,Shopping,473.8,1
TXN000204,ACC0019,2023-09-13,Kmart,Shopping,466.66,1
TXN000205,ACC0031,2023-08-01,Telstra,Utilities,418.19,0
TXN000206,ACC0013,2023-10-10,BP,Transport,76.6,0
TXN000207,ACC0027,2023-02-05,Origin Energy,Utilities,141.74,0
TXN000208,ACC0020,2023-01-02,Menulog,Dining,145.01,0
TXN000209,ACC0031,2023-03-18,Amazon AU,Shopping,226.04,0
TXN000210,ACC0025,2023-10-10,Menulog,Dining,382.62,0
TXN000211,ACC0016,2023-04-07,Event Cinemas,Entertainment,490.48,1
TXN000212,ACC0027,2023-04-30,Optus,Utilities,428.73,0
TXN000213,ACC0025,2023-08-31,Aldi,Groceries,354.09,0
TXN000214,ACC0009,2023-09-11,Spotify,Entertainment,482.59,1
TXN000215,ACC0029,2023-02-21,Telstra,Utilities,437.72,0
TXN000216,ACC0027,2023-01-08,IGA,Groceries,362.61,0
TXN000217,ACC0017,2023-02-08,Kmart,Shopping,237.4,0
TXN000218,ACC0022,2023-11-29,Nandos,Dining,44.76,0
TXN000219,ACC0049,2023-06-12,Amazon AU,Shopping,315.27,0
TXN000220,ACC0041,2023-11-13,Netflix,Entertainment,38.87,0
TXN000221,ACC0028,2023-04-27,Priceline,Healthcare,374.65,0
TXN000222,ACC0020,2023-08-16,Woolworths,Groceries,87.35,0
TXN000223,ACC0019,2023-06-16,Woolworths,Groceries,399.09,0
TXN000224,ACC0034,2023-08-09,Menulog,Dining,77.06,0
TXN000225,ACC0040,2023-03-29,Spotify,Entertainment,91.66,0
TXN000226,ACC0032,2023-11-14,Amazon AU,Shopping,343.15,0
TXN000227,ACC0017,2023-04-29,Origin Energy,Utilities,233.27,0
TXN000228,ACC0030,2023-12-08,Event Cinemas,Entertainment,9.65,0
TXN000229,ACC0023,2023-02-07,Uber Eats,Dining,223.66,0
TXN000230,ACC0045,2023-11-24,Telstra,Utilities,481.2,1
TXN000231,ACC0025,2023-06-04,Nandos,Dining,103.61,0
TXN000232,ACC0037,2023-02-24,Amazon AU,Shopping,122.42,0
TXN000233,ACC0043,2023-12-25,Menulog,Dining,151.14,0
TXN000234,ACC0044,2023-01-05,Event Cinemas,Entertainment,285.13,0
TXN000235,ACC0019,2023-11-07,JB Hi-Fi,Shopping,373.86,0
TXN000236,ACC0015,2023-11-07,Kmart,Shopping,401.96,0
TXN000237,ACC0049,2023-11-14,Chemist Warehouse,Healthcare,129.06,0
TXN000238,ACC0041,2023-12-15,Medibank,Healthcare,419.98,0
TXN000239,ACC0003,2023-06-08,Woolworths,Groceries,395.36,0
TXN000240,ACC0019,2023-03-09,Telstra,Utilities,49.62,0
TXN000241,ACC0035,2023-03-31,Nandos,Dining,104.39,0
TXN000242,ACC0031,2023-03-26,Menulog,Dining,132.2,0
TXN000243,ACC0030,2023-06-23,Target,Shopping,403.1,0
TXN000244,ACC0047,2023-04-26,Coles,Groceries,430.77,0
TXN000245,ACC0026,2023-10-13,Priceline,Healthcare,186.06,0
TXN000246,ACC0024,2023-10-02,Aldi,Groceries,66.18,0
TXN000247,ACC0025,2023-12-11,Medibank,Healthcare,134.77,0
TXN000248,ACC0031,2023-02-25,Target,Shopping,339.04,0
TXN000249,ACC0005,2023-11-09,Aldi,Groceries,114.58,0
TXN000250,ACC0027,2023-12-25,Priceline,Healthcare,154.58,0
TXN000251,ACC0020,2023-01-24,Coles,Groceries,473.4,1
TXN000252,ACC0035,2023-02-19,Netflix,Entertainment,121.23,0
TXN000253,ACC0048,2023-08-21,BP,Transport,188.65,0
TXN000254,ACC0047,2023-08-03,Medibank,Healthcare,295.73,0
TXN000255,ACC0032,2023-12-02,BP,Transport,54.02,0
TXN000256,ACC0024,2023-05-24,Optus,Utilities,21.19,0
TXN000257,ACC0024,2023-08-16,BP,Transport,475.52,1
TXN000258,ACC0042,2023-10-06,Aldi,Groceries,451.34,1
TXN000259,ACC0008,2023-07-23,McDonalds,Dining,141.56,0
TXN000260,ACC0042,2023-02-16,Amazon AU,Shopping,333.07,0
TXN000261,ACC0022,2023-01-11,Medibank,Healthcare,30.04,0
TXN000262,ACC0049,2023-10-17,Uber,Transport,106.58,0
TXN000263,ACC0015,2023-10-28,Origin Energy,Utilities,111.9,0
TXN000264,ACC0010,2023-11-02,Uber Eats,Dining,6.4,0
TXN000265,ACC0002,2023-03-31,Shell,Transport,59.41,0
TXN000266,ACC0016,2023-07-03,Myki,Transport,396.04,0
TXN000267,ACC0004,2023-01-09,Telstra,Utilities,91.25,0
TXN000268,ACC0005,2023-09-27,BP,Transport,61.26,0
TXN000269,ACC0007,2023-07-05,Steam,Entertainment,259.05,0
TXN000270,ACC0043,2023-11-11,Spotify,Entertainment,26.47,0
TXN000271,ACC0002,2023-08-23,Telstra,Utilities,323.45,0
TXN000272,ACC0007,2023-07-25,IGA,Groceries,216.01,0
TXN000273,ACC0021,2023-02-07,Steam,Entertainment,450.14,1
TXN000274,ACC0040,2023-02-03,Origin Energy,Utilities,67.46,0
TXN000275,ACC0025,2023-10-08,Medibank,Healthcare,357.52,0
TXN000276,ACC0028,2023-08-21,Telstra,Utilities,255.25,0
TXN000277,ACC0050,2023-12-02,Woolworths,Groceries,327.2,0
TXN000278,ACC0015,2023-08-09,Origin Energy,Utilities,228.52,0
TXN000279,ACC0047,2023-08-21,Event Cinemas,Entertainment,202.37,0
TXN000280,ACC0017,2023-08-07,Aldi,Groceries,159.7,0
TXN000281,ACC0005,2023-12-18,Uber Eats,Dining,461.88,1
TXN000282,ACC0048,2023-02-17,Woolworths,Groceries,218.78,0
TXN000283,ACC0038,2023-03-08,Priceline,Healthcare,280.4,0
TXN000284,ACC0023,2023-12-10,Telstra,Utilities,65.5,0
TXN000285,ACC0039,2023-01-27,Amazon AU,Shopping,484.36,1
TXN000286,ACC0014,2023-02-23,Menulog,Dining,291.07,0
TXN000287,ACC0023,2023-04-25,BP,Transport,424.4,0
TXN000288,ACC0037,2023-02-28,Target,Shopping,382.49,0
TXN000289,ACC0040,2023-10-15,BP,Transport,487.4,1
TXN000290,ACC0045,2023-11-08,AGL Energy,Utilities,464.9,1
TXN000291,ACC0049,2023-04-03,McDonalds,Dining,140.27,0
TXN000292,ACC0010,2023-06-29,Menulog,Dining,8.02,0
TXN000293,ACC0041,2023-02-05,Optus,Utilities,75.23,0
TXN000294,ACC0027,2023-09-29,Woolworths,Groceries,111.49,0
TXN000295,ACC0047,2023-03-22,Event Cinemas,Entertainment,188.18,0
TXN000296,ACC0049,2023-01-27,McDonalds,Dining,82.01,0
TXN000297,ACC0029,2023-12-12,AGL Energy,Utilities,45.38,0
TXN000298,ACC0027,2023-09-06,Priceline,Healthcare,305.5,0
TXN000299,ACC0028,2023-09-20,Uber Eats,Dining,61.34,0
TXN000300,ACC0032,2023-12-14,Aldi,Groceries,340.85,0
TXN000301,ACC0039,2023-01-24,Telstra,Utilities,114.16,0
TXN000302,ACC0014,2023-04-15,Woolworths,Groceries,154.2,0
TXN000303,ACC0008,2023-05-11,Kmart,Shopping,148.28,0
TXN000304,ACC0025,2023-08-09,IGA,Groceries,91.97,0
TXN000305,ACC0043,2023-09-14,Origin Energy,Utilities,281.57,0
TXN000306,ACC0048,2023-02-06,Target,Shopping,201.55,0
TXN000307,ACC0005,2023-01-10,IGA,Groceries,232.58,0
TXN000308,ACC0026,2023-10-22,Target,Shopping,217.5,0
TXN000309,ACC0026,2023-08-02,Medibank,Healthcare,148.31,0
TXN000310,ACC0040,2023-03-29,Aldi,Groceries,401.65,0
TXN000311,ACC0007,2023-02-15,Event Cinemas,Entertainment,221.17,0
TXN000312,ACC0006,2023-10-29,BP,Transport,203.22,0
TXN000313,ACC0050,2023-06-23,Event Cinemas,Entertainment,114.68,0
TXN000314,ACC0034,2023-09-19,Myki,Transport,318.45,0
TXN000315,ACC0042,2023-06-28,Origin Energy,Utilities,178.79,0
TXN000316,ACC0017,2023-05-01,Kmart,Shopping,55.89,0
TXN000317,ACC0049,2023-11-05,Uber,Transport,80.67,0
TXN000318,ACC0041,2023-04-01,Chemist Warehouse,Healthcare,475.89,1
TXN000319,ACC0029,2023-10-16,Steam,Entertainment,381.14,0
TXN000320,ACC0040,2023-11-26,Medibank,Healthcare,319.47,0
TXN000321,ACC0031,2023-03-19,Menulog,Dining,222.68,0
TXN000322,ACC0023,2023-05-21,Event Cinemas,Entertainment,297.75,0
TXN000323,ACC0003,2023-06-08,AGL Energy,Utilities,233.56,0
TXN000324,ACC0006,2023-05-27,Aldi,Groceries,42.98,0
TXN000325,ACC0048,2023-08-25,Optus,Utilities,292.26,0
TXN000326,ACC0021,2023-10-20,IGA,Groceries,327.66,0
TXN000327,ACC0004,2023-09-14,Optus,Utilities,79.68,0
TXN000328,ACC0006,2023-06-25,Netflix,Entertainment,491.28,1
TXN000329,ACC0029,2023-01-21,Origin Energy,Utilities,127.63,0
TXN000330,ACC0019,2023-07-06,Spotify,Entertainment,189.56,0
TXN000331,ACC0004,2023-06-23,Steam,Entertainment,341.05,0
TXN000332,ACC0036,2023-02-03,Target,Shopping,168.2,0
TXN000333,ACC0043,2023-05-26,Priceline,Healthcare,129.74,0
TXN000334,ACC0043,2023-06-20,Origin Energy,Utilities,45.34,0
TXN000335,ACC0045,2023-06-08,Shell,Transport,484.01,1
TXN000336,ACC0006,2023-03-08,Priceline,Healthcare,299.55,0
TXN000337,ACC0009,2023-11-26,Nandos,Dining,396.87,0
TXN000338,ACC0006,2023-12-17,Medibank,Healthcare,456.66,1
TXN000339,ACC0002,2023-08-05,Medibank,Healthcare,256.7,0
TXN000340,ACC0022,2023-04-03,Menulog,Dining,475.83,1
TXN000341,ACC0009,2023-04-09,Amazon AU,Shopping,117.14,0
TXN000342,ACC0007,2023-06-01,Myki,Transport,422.99,0
TXN000343,ACC0050,2023-12-05,AGL Energy,Utilities,171.7,0
TXN000344,ACC0011,2023-11-02,Origin Energy,Utilities,191.48,0
TXN000345,ACC0024,2023-08-13,Uber,Transport,26.63,0
TXN000346,ACC0040,2023-05-02,Medibank,Healthcare,484.95,1
TXN000347,ACC0020,2023-04-30,Nandos,Dining,269.34,0
TXN000348,ACC0037,2023-04-10,Amazon AU,Shopping,187.08,0
TXN000349,ACC0033,2023-05-25,Steam,Entertainment,390.17,0
TXN000350,ACC0039,2023-03-24,Optus,Utilities,409.36,0
TXN000351,ACC0024,2023-01-27,Shell,Transport,322.38,0
TXN000352,ACC0008,2023-12-31,AGL Energy,Utilities,423.72,0
TXN000353,ACC0033,2023-03-24,McDonalds,Dining,140.03,0
TXN000354,ACC0015,2023-02-16,BP,Transport,473.47,1
TXN000355,ACC0027,2023-06-28,Amazon AU,Shopping,465.58,1
TXN000356,ACC0025,2023-09-15,IGA,Groceries,190.11,0
TXN000357,ACC0007,2023-04-25,Aldi,Groceries,18.95,0
TXN000358,ACC0019,2023-03-16,Target,Shopping,73.11,0
TXN000359,ACC0049,2023-12-23,Amazon AU,Shopping,416.4,0
TXN000360,ACC0006,2023-08-18,Priceline,Healthcare,309.6,0
TXN000361,ACC0036,2023-04-21,Aldi,Groceries,418.31,0
TXN000362,ACC0050,2023-09-28,Medibank,Healthcare,214.51,0
TXN000363,ACC0016,2023-06-04,Uber Eats,Dining,65.31,0
TXN000364,ACC0032,2023-02-02,Steam,Entertainment,59.87,0
TXN000365,ACC0016,2023-11-20,AGL Energy,Utilities,260.11,0
TXN000366,ACC0040,2023-05-30,Chemist Warehouse,Healthcare,217.47,0
TXN000367,ACC0043,2023-10-20,Uber Eats,Dining,211.2,0
TXN000368,ACC0005,2023-09-26,Chemist Warehouse,Healthcare,487.45,1
TXN000369,ACC0003,2023-07-19,AGL Energy,Utilities,437.3,0
TXN000370,ACC0002,2023-07-11,Priceline,Healthcare,130.56,0
TXN000371,ACC0043,2023-06-26,McDonalds,Dining,124.36,0
TXN000372,ACC0022,2023-10-25,Chemist Warehouse,Healthcare,368.92,0
TXN000373,ACC0042,2023-06-30,Myki,Transport,275.28,0
TXN000374,ACC0012,2023-12-23,BP,Transport,241.87,0
TXN000375,ACC0030,2023-02-02,Kmart,Shopping,359.44,0
TXN000376,ACC0013,2023-04-14,Aldi,Groceries,26.68,0
TXN000377,ACC0035,2023-06-08,Aldi,Groceries,260.11,0
TXN000378,ACC0013,2023-01-19,Event Cinemas,Entertainment,377.88,0
TXN000379,ACC0022,2023-01-25,Menulog,Dining,433.57,0
TXN000380,ACC0026,2023-07-08,McDonalds,Dining,221.29,0
TXN000381,ACC0012,2023-07-17,Priceline,Healthcare,172.82,0
TXN000382,ACC0034,2023-07-08,Steam,Entertainment,462.53,1
TXN000383,ACC0039,2023-08-06,McDonalds,Dining,44.07,0
TXN000384,ACC0007,2023-10-07,Kmart,Shopping,150.41,0
TXN000385,ACC0029,2023-12-05,Aldi,Groceries,151.34,0
TXN000386,ACC0023,2023-03-27,Optus,Utilities,346.43,0
TXN000387,ACC0028,2023-06-30,Netflix,Entertainment,309.35,0
TXN000388,ACC0026,2023-02-08,McDonalds,Dining,337.24,0
TXN000389,ACC0039,2023-01-16,Uber Eats,Dining,75.68,0
TXN000390,ACC0016,2023-01-18,Priceline,Healthcare,67.48,0
TXN000391,ACC0037,2023-07-05,Target,Shopping,194.51,0
TXN000392,ACC0024,2023-12-14,Coles,Groceries,227.71,0
TXN000393,ACC0034,2023-02-09,Nandos,Dining,289.09,0
