transaction_id,account_id,date,merchant,category,amount,is_anomaly,year,month,month_name,week,day_of_week,quarter,risk_flag
TXN000055,ACC0001,2023-01-31,Bp,Transport,86.5,0,2023,1,January,5,Tuesday,1,LOW
TXN000056,ACC0045,2023-08-21,Event Cinemas,Entertainment,146.2,0,2023,8,August,34,Monday,3,LOW
TXN000057,ACC0010,2023-12-05,Medibank,Healthcare,360.61,0,2023,12,December,49,Tuesday,4,MEDIUM
TXN000058,ACC0038,2023-04-22,Shell,Transport,484.51,1,2023,4,April,16,Saturday,2,HIGH
TXN000059,ACC0004,2023-02-01,Medibank,Healthcare,375.25,0,2023,2,February,5,Wednesday,1,MEDIUM
TXN000060,ACC0034,2023-09-15,Iga,Groceries,460.1,1,2023,9,September,37,Friday,3,HIGH
TXN000061,ACC0012,2023-09-18,Myki,Transport,44.66,0,2023,9,September,38,Monday,3,LOW
TXN000062,ACC0026,2023-12-12,Woolworths,Groceries,431.6,0,2023,12,December,50,Tuesday,4,HIGH
TXN000063,ACC0040,2023-10-24,Coles,Groceries,299.29,0,2023,10,October,43,Tuesday,4,MEDIUM
TXN000064,ACC0034,2023-12-03,Iga,Groceries,293.92,0,2023,12,December,48,Sunday,4,MEDIUM
TXN000065,ACC0021,2023-04-15,Menulog,Dining,336.51,0,2023,4,April,15,Saturday,2,MEDIUM
TXN000066,ACC0042,2023-07-22,Shell,Transport,69.78,0,2023,7,July,29,Saturday,3,LOW
TXN000067,ACC0005,2023-06-11,Nandos,Dining,464.86,1,2023,6,June,23,Sunday,2,HIGH
TXN000068,ACC0007,2023-11-15,Iga,Groceries,499.23,1,2023,11,November,46,Wednesday,4,HIGH
TXN000069,ACC0023,2023-09-17,Coles,Groceries,136.27,0,2023,9,September,37,Sunday,3,LOW
TXN000070,ACC0029,2023-07-09,Coles,Groceries,146.07,0,2023,7,July,27,Sunday,3,LOW
TXN000071,ACC0042,2023-11-10,Target,Shopping,492.01,1,2023,11,November,45,Friday,4,HIGH
TXN000072,ACC0020,2023-12-08,Agl Energy,Utilities,409.47,0,2023,12,December,49,Friday,4,HIGH
TXN000073,ACC0007,2023-03-10,Chemist Warehouse,Healthcare,135.91,0,2023,3,March,10,Friday,1,LOW
TXN000074,ACC0039,2023-03-21,Medibank,Healthcare,139.81,0,2023,3,March,12,Tuesday,1,LOW
TXN000075,ACC0017,2023-04-15,Shell,Transport,345.31,0,2023,4,April,15,Saturday,2,MEDIUM
TXN000076,ACC0004,2023-05-09,Optus,Utilities,453.14,1,2023,5,May,19,Tuesday,2,HIGH
TXN000077,ACC0022,2023-05-22,Iga,Groceries,26.82,0,2023,5,May,21,Monday,2,LOW
TXN000078,ACC0011,2023-11-23,Kmart,Shopping,490.0,1,2023,11,November,47,Thursday,4,HIGH
TXN000079,ACC0036,2023-10-10,Priceline,Healthcare,354.31,0,2023,10,October,41,Tuesday,4,MEDIUM
TXN000080,ACC0045,2023-02-08,Woolworths,Groceries,472.8,1,2023,2,February,6,Wednesday,1,HIGH
TXN000081,ACC0010,2023-07-09,Myki,Transport,293.34,0,2023,7,July,27,Sunday,3,MEDIUM
TXN000082,ACC0003,2023-01-22,Spotify,Entertainment,157.59,0,2023,1,January,3,Sunday,1,LOW
TXN000083,ACC0007,2023-12-16,Uber Eats,Dining,128.52,0,2023,12,December,50,Saturday,4,LOW
TXN000084,ACC0016,2023-11-14,Nandos,Dining,375.99,0,2023,11,November,46,Tuesday,4,MEDIUM
TXN000085,ACC0002,2023-04-01,Kmart,Shopping,441.3,0,2023,4,April,13,Saturday,2,HIGH
TXN000086,ACC0048,2023-07-30,Shell,Transport,402.11,0,2023,7,July,30,Sunday,3,HIGH
TXN000087,ACC0045,2023-05-17,Kmart,Shopping,83.8,0,2023,5,May,20,Wednesday,2,LOW
TXN000088,ACC0015,2023-01-20,Iga,Groceries,430.0,0,2023,1,January,3,Friday,1,HIGH
TXN000089,ACC0015,2023-06-29,Bp,Transport,156.07,0,2023,6,June,26,Thursday,2,LOW
TXN000090,ACC0022,2023-12-04,Myki,Transport,100.6,0,2023,12,December,49,Monday,4,LOW
TXN000091,ACC0033,2023-05-23,Mcdonalds,Dining,178.82,0,2023,5,May,21,Tuesday,2,LOW
TXN000092,ACC0017,2023-01-15,Event Cinemas,Entertainment,62.09,0,2023,1,January,2,Sunday,1,LOW
TXN000093,ACC0028,2023-01-20,Shell,Transport,58.66,0,2023,1,January,3,Friday,1,LOW
TXN000094,ACC0033,2023-08-12,Menulog,Dining,305.07,0,2023,8,August,32,Saturday,3,MEDIUM
TXN000095,ACC0003,2023-10-23,Iga,Groceries,99.09,0,2023,10,October,43,Monday,4,LOW
TXN000096,ACC0035,2023-01-01,Priceline,Healthcare,262.36,0,2023,1,January,52,Sunday,1,MEDIUM
TXN000097,ACC0028,2023-12-10,Medibank,Healthcare,102.53,0,2023,12,December,49,Sunday,4,LOW
TXN000098,ACC0008,2023-11-16,Aldi,Groceries,160.39,0,2023,11,November,46,Thursday,4,LOW
TXN000099,ACC0027,2023-09-17,Priceline,Healthcare,158.1,0,2023,9,September,37,Sunday,3,LOW
TXN000100,ACC0009,2023-12-23,Nandos,Dining,151.35,0,2023,12,December,51,Saturday,4,LOW
TXN000101,ACC0044,2023-12-07,Bp,Transport,470.48,1,2023,12,December,49,Thursday,4,HIGH
TXN000102,ACC0026,2023-11-12,Chemist Warehouse,Healthcare,286.71,0,2023,11,November,45,Sunday,4,MEDIUM
TXN000103,ACC0028,2023-06-05,Agl Energy,Utilities,147.02,0,2023,6,June,23,Monday,2,LOW
TXN000104,ACC0044,2023-08-27,Target,Shopping,223.68,0,2023,8,August,34,Sunday,3,MEDIUM
TXN000105,ACC0019,2023-03-28,Bp,Transport,331.13,0,2023,3,March,13,Tuesday,1,MEDIUM
TXN000106,ACC0049,2023-02-17,Telstra,Utilities,410.12,0,2023,2,February,7,Friday,1,HIGH
TXN000107,ACC0010,2023-04-26,Shell,Transport,404.25,0,2023,4,April,17,Wednesday,2,HIGH
TXN000108,ACC0040,2023-05-06,Woolworths,Groceries,492.05,1,2023,5,May,18,Saturday,2,HIGH
TXN000109,ACC0041,2023-08-22,Jb Hi-Fi,Shopping,210.15,0,2023,8,August,34,Tuesday,3,MEDIUM
TXN000110,ACC0026,2023-12-23,Origin Energy,Utilities,195.07,0,2023,12,December,51,Saturday,4,LOW
TXN000111,ACC0049,2023-12-02,Uber,Transport,345.37,0,2023,12,December,48,Saturday,4,MEDIUM
TXN000112,ACC0045,2023-08-06,Jb Hi-Fi,Shopping,113.33,0,2023,8,August,31,Sunday,3,LOW
TXN000113,ACC0008,2023-01-26,Optus,Utilities,280.92,0,2023,1,January,4,Thursday,1,MEDIUM
TXN000114,ACC0036,2023-08-26,Spotify,Entertainment,335.45,0,2023,8,August,34,Saturday,3,MEDIUM
TXN000115,ACC0047,2023-08-15,Telstra,Utilities,308.26,0,2023,8,August,33,Tuesday,3,MEDIUM
TXN000116,ACC0011,2023-10-08,Optus,Utilities,225.73,0,2023,10,October,40,Sunday,4,MEDIUM
TXN000117,ACC0016,2023-08-19,Priceline,Healthcare,133.3,0,2023,8,August,33,Saturday,3,LOW
TXN000118,ACC0016,2023-09-24,Target,Shopping,244.88,0,2023,9,September,38,Sunday,3,MEDIUM
TXN000119,ACC0016,2023-02-09,Nandos,Dining,358.2,0,2023,2,February,6,Thursday,1,MEDIUM
TXN000120,ACC0006,2023-06-13,Menulog,Dining,447.05,0,2023,6,June,24,Tuesday,2,HIGH
TXN000121,ACC0010,2023-04-29,Uber,Transport,194.6,0,2023,4,April,17,Saturday,2,LOW
TXN000122,ACC0022,2023-02-02,Chemist Warehouse,Healthcare,210.36,0,2023,2,February,5,Thursday,1,MEDIUM
TXN000123,ACC0027,2023-08-01,Optus,Utilities,35.82,0,2023,8,August,31,Tuesday,3,LOW
TXN000124,ACC0001,2023-10-22,Netflix,Entertainment,193.29,0,2023,10,October,42,Sunday,4,LOW
TXN000125,ACC0027,2023-07-19,Menulog,Dining,427.46,0,2023,7,July,29,Wednesday,3,HIGH
TXN000126,ACC0028,2023-09-07,Origin Energy,Utilities,113.61,0,2023,9,September,36,Thursday,3,LOW
TXN000127,ACC0044,2023-07-19,Netflix,Entertainment,171.38,0,2023,7,July,29,Wednesday,3,LOW
TXN000128,ACC0009,2023-03-26,Amazon Au,Shopping,421.05,0,2023,3,March,12,Sunday,1,HIGH
TXN000129,ACC0043,2023-07-21,Agl Energy,Utilities,297.99,0,2023,7,July,29,Friday,3,MEDIUM
TXN000130,ACC0030,2023-11-26,Woolworths,Groceries,217.16,0,2023,11,November,47,Sunday,4,MEDIUM
TXN000131,ACC0014,2023-05-14,Myki,Transport,192.66,0,2023,5,May,19,Sunday,2,LOW
TXN000132,ACC0025,2023-06-22,Event Cinemas,Entertainment,381.81,0,2023,6,June,25,Thursday,2,MEDIUM
TXN000133,ACC0031,2023-05-10,Nandos,Dining,418.28,0,2023,5,May,19,Wednesday,2,HIGH
TXN000134,ACC0005,2023-06-29,Woolworths,Groceries,115.99,0,2023,6,June,26,Thursday,2,LOW
TXN000135,ACC0013,2023-01-16,Jb Hi-Fi,Shopping,475.06,1,2023,1,January,3,Monday,1,HIGH
TXN000136,ACC0009,2023-11-15,Jb Hi-Fi,Shopping,80.43,0,2023,11,November,46,Wednesday,4,LOW
TXN000137,ACC0030,2023-10-16,Netflix,Entertainment,474.14,1,2023,10,October,42,Monday,4,HIGH
TXN000138,ACC0039,2023-07-08,Priceline,Healthcare,88.06,0,2023,7,July,27,Saturday,3,LOW
TXN000139,ACC0011,2023-02-28,Medibank,Healthcare,390.01,0,2023,2,February,9,Tuesday,1,MEDIUM
TXN000140,ACC0020,2023-10-24,Mcdonalds,Dining,17.71,0,2023,10,October,43,Tuesday,4,LOW
TXN000141,ACC0013,2023-07-23,Optus,Utilities,471.03,1,2023,7,July,29,Sunday,3,HIGH
TXN000142,ACC0020,2023-02-22,Coles,Groceries,350.11,0,2023,2,February,8,Wednesday,1,MEDIUM
TXN000143,ACC0023,2023-10-17,Jb Hi-Fi,Shopping,392.4,0,2023,10,October,42,Tuesday,4,MEDIUM
TXN000144,ACC0033,2023-12-05,Optus,Utilities,188.43,0,2023,12,December,49,Tuesday,4,LOW
TXN000145,ACC0032,2023-01-07,Priceline,Healthcare,425.54,0,2023,1,January,1,Saturday,1,HIGH
TXN000146,ACC0030,2023-07-05,Iga,Groceries,319.61,0,2023,7,July,27,Wednesday,3,MEDIUM
TXN000147,ACC0034,2023-08-11,Chemist Warehouse,Healthcare,92.19,0,2023,8,August,32,Friday,3,LOW
TXN000148,ACC0035,2023-11-12,Priceline,Healthcare,405.06,0,2023,11,November,45,Sunday,4,HIGH
TXN000149,ACC0047,2023-08-27,Amazon Au,Shopping,220.61,0,2023,8,August,34,Sunday,3,MEDIUM
TXN000150,ACC0006,2023-06-15,Telstra,Utilities,426.6,0,2023,6,June,24,Thursday,2,HIGH
TXN000151,ACC0037,2023-05-05,Nandos,Dining,376.49,0,2023,5,May,18,Friday,2,MEDIUM
TXN000152,ACC0021,2023-06-22,Optus,Utilities,19.21,0,2023,6,June,25,Thursday,2,LOW
TXN000153,ACC0017,2023-04-19,Bp,Transport,180.64,0,2023,4,April,16,Wednesday,2,LOW
TXN000154,ACC0018,2023-11-02,Menulog,Dining,352.09,0,2023,11,November,44,Thursday,4,MEDIUM
TXN000155,ACC0006,2023-09-22,Agl Energy,Utilities,474.29,1,2023,9,September,38,Friday,3,HIGH
TXN000156,ACC0016,2023-09-08,Bp,Transport,279.81,0,2023,9,September,36,Friday,3,MEDIUM
TXN000157,ACC0029,2023-11-27,Priceline,Healthcare,357.36,0,2023,11,November,48,Monday,4,MEDIUM
TXN000158,ACC0026,2023-02-17,Jb Hi-Fi,Shopping,150.65,0,2023,2,February,7,Friday,1,LOW
TXN000159,ACC0024,2023-06-06,Chemist Warehouse,Healthcare,333.66,0,2023,6,June,23,Tuesday,2,MEDIUM
TXN000160,ACC0036,2023-08-06,Event Cinemas,Entertainment,498.33,1,2023,8,August,31,Sunday,3,HIGH
TXN000161,ACC0020,2023-12-26,Menulog,Dining,229.6,0,2023,12,December,52,Tuesday,4,MEDIUM
TXN000162,ACC0021,2023-03-03,Uber Eats,Dining,362.04,0,2023,3,March,9,Friday,1,MEDIUM
TXN000163,ACC0031,2023-04-09,Coles,Groceries,112.11,0,2023,4,April,14,Sunday,2,LOW
TXN000164,ACC0019,2023-02-21,Menulog,Dining,417.15,0,2023,2,February,8,Tuesday,1,HIGH
TXN000165,ACC0046,2023-04-02,Shell,Transport,154.62,0,2023,4,April,13,Sunday,2,LOW
TXN000166,ACC0004,2023-05-21,Origin Energy,Utilities,27.53,0,2023,5,May,20,Sunday,2,LOW
TXN000167,ACC0041,2023-12-24,Telstra,Utilities,472.32,1,2023,12,December,51,Sunday,4,HIGH
TXN000168,ACC0037,2023-02-22,Amazon Au,Shopping,437.0,0,2023,2,February,8,Wednesday,1,HIGH
TXN000169,ACC0012,2023-09-03,Nandos,Dining,223.03,0,2023,9,September,35,Sunday,3,MEDIUM
TXN000170,ACC0005,2023-09-02,Aldi,Groceries,61.47,0,2023,9,September,35,Saturday,3,LOW
TXN000171,ACC0044,2023-02-07,Steam,Entertainment,290.63,0,2023,2,February,6,Tuesday,1,MEDIUM
TXN000172,ACC0020,2023-03-18,Coles,Groceries,406.52,0,2023,3,March,11,Saturday,1,HIGH
TXN000173,ACC0027,2023-03-02,Coles,Groceries,281.25,0,2023,3,March,9,Thursday,1,MEDIUM
TXN000174,ACC0029,2023-09-25,Origin Energy,Utilities,193.29,0,2023,9,September,39,Monday,3,LOW
TXN000175,ACC0004,2023-06-06,Nandos,Dining,286.47,0,2023,6,June,23,Tuesday,2,MEDIUM
TXN000176,ACC0017,2023-04-17,Agl Energy,Utilities,314.63,0,2023,4,April,16,Monday,2,MEDIUM
TXN000177,ACC0036,2023-03-22,Chemist Warehouse,Healthcare,123.73,0,2023,3,March,12,Wednesday,1,LOW
TXN000178,ACC0045,2023-01-02,Coles,Groceries,207.22,0,2023,1,January,1,Monday,1,MEDIUM
TXN000179,ACC0019,2023-05-30,Optus,Utilities,21.16,0,2023,5,May,22,Tuesday,2,LOW
TXN000180,ACC0005,2023-12-26,Priceline,Healthcare,430.51,0,2023,12,December,52,Tuesday,4,HIGH
TXN000181,ACC0041,2023-05-16,Chemist Warehouse,Healthcare,394.97,0,2023,5,May,20,Tuesday,2,MEDIUM
TXN000182,ACC0015,2023-08-06,Origin Energy,Utilities,61.81,0,2023,8,August,31,Sunday,3,LOW
TXN000183,ACC0005,2023-05-17,Chemist Warehouse,Healthcare,414.18,0,2023,5,May,20,Wednesday,2,HIGH
TXN000184,ACC0037,2023-06-07,Coles,Groceries,299.55,0,2023,6,June,23,Wednesday,2,MEDIUM
TXN000185,ACC0020,2023-03-05,Nandos,Dining,237.01,0,2023,3,March,9,Sunday,1,MEDIUM
TXN000186,ACC0032,2023-05-20,Priceline,Healthcare,252.73,0,2023,5,May,20,Saturday,2,MEDIUM
TXN000187,ACC0028,2023-11-03,Netflix,Entertainment,24.73,0,2023,11,November,44,Friday,4,LOW
TXN000188,ACC0006,2023-11-06,Priceline,Healthcare,128.93,0,2023,11,November,45,Monday,4,LOW
TXN000189,ACC0037,2023-12-11,Myki,Transport,411.6,0,2023,12,December,50,Monday,4,HIGH
TXN000190,ACC0029,2023-08-29,Coles,Groceries,261.89,0,2023,8,August,35,Tuesday,3,MEDIUM
TXN000191,ACC0032,2023-10-27,Uber Eats,Dining,220.76,0,2023,10,October,43,Friday,4,MEDIUM
TXN000192,ACC0021,2023-06-28,Iga,Groceries,207.13,0,2023,6,June,26,Wednesday,2,MEDIUM
TXN000193,ACC0045,2023-03-24,Chemist Warehouse,Healthcare,168.25,0,2023,3,March,12,Friday,1,LOW
TXN000194,ACC0049,2023-12-06,Event Cinemas,Entertainment,472.87,1,2023,12,December,49,Wednesday,4,HIGH
TXN000195,ACC0017,2023-08-21,Agl Energy,Utilities,48.59,0,2023,8,August,34,Monday,3,LOW
TXN000196,ACC0001,2023-07-26,Mcdonalds,Dining,433.13,0,2023,7,July,30,Wednesday,3,HIGH
TXN000197,ACC0013,2023-08-25,Medibank,Healthcare,209.56,0,2023,8,August,34,Friday,3,MEDIUM
TXN000198,ACC0041,2023-11-15,Telstra,Utilities,379.44,0,2023,11,November,46,Wednesday,4,MEDIUM
TXN000199,ACC0009,2023-04-15,Netflix,Entertainment,137.19,0,2023,4,April,15,Saturday,2,LOW
TXN000200,ACC0002,2023-12-24,Nandos,Dining,244.93,0,2023,12,December,51,Sunday,4,MEDIUM
TXN000201,ACC0020,2023-05-03,Medibank,Healthcare,356.34,0,2023,5,May,18,Wednesday,2,MEDIUM
TXN000202,ACC0015,2023-10-10,Agl Energy,Utilities,206.96,0,2023,10,October,41,Tuesday,4,MEDIUM
TXN000203,ACC0042,2023-08-25,Jb Hi-Fi,Shopping,473.8,1,2023,8,August,34,Friday,3,HIGH
TXN000204,ACC0019,2023-09-13,Kmart,Shopping,466.66,1,2023,9,September,37,Wednesday,3,HIGH
TXN000205,ACC0031,2023-08-01,Telstra,Utilities,418.19,0,2023,8,August,31,Tuesday,3,HIGH
TXN000206,ACC0013,2023-10-10,Bp,Transport,76.6,0,2023,10,October,41,Tuesday,4,LOW
TXN000207,ACC0027,2023-02-05,Origin Energy,Utilities,141.74,0,2023,2,February,5,Sunday,1,LOW
TXN000208,ACC0020,2023-01-02,Menulog,Dining,145.01,0,2023,1,January,1,Monday,1,LOW
TXN000209,ACC0031,2023-03-18,Amazon Au,Shopping,226.04,0,2023,3,March,11,Saturday,1,MEDIUM
TXN000210,ACC0025,2023-10-10,Menulog,Dining,382.62,0,2023,10,October,41,Tuesday,4,MEDIUM
TXN000211,ACC0016,2023-04-07,Event Cinemas,Entertainment,490.48,1,2023,4,April,14,Friday,2,HIGH
TXN000212,ACC0027,2023-04-30,Optus,Utilities,428.73,0,2023,4,April,17,Sunday,2,HIGH
TXN000213,ACC0025,2023-08-31,Aldi,Groceries,354.09,0,2023,8,August,35,Thursday,3,MEDIUM
TXN000214,ACC0009,2023-09-11,Spotify,Entertainment,482.59,1,2023,9,September,37,Monday,3,HIGH
TXN000215,ACC0029,2023-02-21,Telstra,Utilities,437.72,0,2023,2,February,8,Tuesday,1,HIGH
TXN000216,ACC0027,2023-01-08,Iga,Groceries,362.61,0,2023,1,January,1,Sunday,1,MEDIUM
TXN000217,ACC0017,2023-02-08,Kmart,Shopping,237.4,0,2023,2,February,6,Wednesday,1,MEDIUM
TXN000218,ACC0022,2023-11-29,Nandos,Dining,44.76,0,2023,11,November,48,Wednesday,4,LOW
TXN000219,ACC0049,2023-06-12,Amazon Au,Shopping,315.27,0,2023,6,June,24,Monday,2,MEDIUM
TXN000220,ACC0041,2023-11-13,Netflix,Entertainment,38.87,0,2023,11,November,46,Monday,4,LOW
TXN000221,ACC0028,2023-04-27,Priceline,Healthcare,374.65,0,2023,4,April,17,Thursday,2,MEDIUM
TXN000222,ACC0020,2023-08-16,Woolworths,Groceries,87.35,0,2023,8,August,33,Wednesday,3,LOW
TXN000223,ACC0019,2023-06-16,Woolworths,Groceries,399.09,0,2023,6,June,24,Friday,2,MEDIUM
TXN000224,ACC0034,2023-08-09,Menulog,Dining,77.06,0,2023,8,August,32,Wednesday,3,LOW
TXN000225,ACC0040,2023-03-29,Spotify,Entertainment,91.66,0,2023,3,March,13,Wednesday,1,LOW
TXN000226,ACC0032,2023-11-14,Amazon Au,Shopping,343.15,0,2023,11,November,46,Tuesday,4,MEDIUM
TXN000227,ACC0017,2023-04-29,Origin Energy,Utilities,233.27,0,2023,4,April,17,Saturday,2,MEDIUM
TXN000228,ACC0030,2023-12-08,Event Cinemas,Entertainment,9.65,0,2023,12,December,49,Friday,4,LOW
TXN000229,ACC0023,2023-02-07,Uber Eats,Dining,223.66,0,2023,2,February,6,Tuesday,1,MEDIUM
TXN000230,ACC0045,2023-11-24,Telstra,Utilities,481.2,1,2023,11,November,47,Friday,4,HIGH
TXN000231,ACC0025,2023-06-04,Nandos,Dining,103.61,0,2023,6,June,22,Sunday,2,LOW
TXN000232,ACC0037,2023-02-24,Amazon Au,Shopping,122.42,0,2023,2,February,8,Friday,1,LOW
TXN000233,ACC0043,2023-12-25,Menulog,Dining,151.14,0,2023,12,December,52,Monday,4,LOW
TXN000234,ACC0044,2023-01-05,Event Cinemas,Entertainment,285.13,0,2023,1,January,1,Thursday,1,MEDIUM
TXN000235,ACC0019,2023-11-07,Jb Hi-Fi,Shopping,373.86,0,2023,11,November,45,Tuesday,4,MEDIUM
TXN000236,ACC0015,2023-11-07,Kmart,Shopping,401.96,0,2023,11,November,45,Tuesday,4,HIGH
TXN000237,ACC0049,2023-11-14,Chemist Warehouse,Healthcare,129.06,0,2023,11,November,46,Tuesday,4,LOW
TXN000238,ACC0041,2023-12-15,Medibank,Healthcare,419.98,0,2023,12,December,50,Friday,4,HIGH
TXN000239,ACC0003,2023-06-08,Woolworths,Groceries,395.36,0,2023,6,June,23,Thursday,2,MEDIUM
TXN000240,ACC0019,2023-03-09,Telstra,Utilities,49.62,0,2023,3,March,10,Thursday,1,LOW
TXN000241,ACC0035,2023-03-31,Nandos,Dining,104.39,0,2023,3,March,13,Friday,1,LOW
TXN000242,ACC0031,2023-03-26,Menulog,Dining,132.2,0,2023,3,March,12,Sunday,1,LOW
TXN000243,ACC0030,2023-06-23,Target,Shopping,403.1,0,2023,6,June,25,Friday,2,HIGH
